"filename", "language", "JavaScript", "Objective-C", "XML", "Objective-C++", "C++", "JSON", "Java Properties", "Groovy", "Batch", "Makefile", "Java", "comment", "blank", "total"
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\OtherProfile\OtherProfile.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 55
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\OtherProfile\components\ButtonsRow.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\OtherProfile\components\Header.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 61
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\OtherProfile\components\ProfileInfo.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 74
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Profile\Profile.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 11, 67
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Profile\components\Header.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 104
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Reels\Reels.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 59
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Reels\components\SingleReel.js", "JavaScript", 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 217
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Reels\components\SwiperComponent.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\SearchScreen\SearchScreen.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\SearchScreen\components\ListItem.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 62
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\SearchScreen\components\SearchBox.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 62
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Search\Search.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Search\components\AllSmall.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Search\components\FetchMore.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Search\components\Left2X.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 71
